915, 117, 43
915, 117, 43
930, 178, 69
952, 219, 102
981, 222, 138
1003, 214, 166
1013, 198, 172
1013, 198, 172
1012, 156, 177
1001, 97, 156
986, 47, 128
964, -4, 102
920, -27, 77
920, -27, 77
872, -30, 96
834, -35, 113
806, -43, 120
806, -43, 120
776, -53, 134
740, -56, 141
736, -57, 154
737, -38, 151
734, -15, 127
734, -15, 127
746, -6, 155
844, -38, 201
989, -83, 211
1100, -120, 181
1157, -118, 142
1143, -43, 217
1143, -43, 217
1127, -13, 263
1127, -14, 259
1063, -2, 234
1515, 81, 667
1681, -595, 213
245, 244, 187
245, 244, 187
574, 64, 52
1545, -306, 89
842, -50, 201
-,-,-
980, -38, 318
973, -84, 289
973, -84, 289
999, -114, 277
1088, -145, 257
1237, -153, 278
1420, -194, 207
1535, -197, 212
1518, -166, 328
1427, -128, 427
1304, -100, 457
1181, -77, 444
1061, -55, 423
1061, -55, 423
949, -70, 407
823, -67, 376
737, -61, 334
670, -61, 274
614, -63, 230
614, -63, 230
602, -59, 206
632, -77, 203
689, -110, 187
744, -128, 155
801, -149, 119
850, -178, 117
850, -178, 117
898, -207, 125
942, -224, 107
952, -229, 97
967, -244, 72
978, -253, 81
977, -239, 92
977, -239, 92
969, -213, 117
958, -197, 135
969, -193, 109
939, -162, 113
923, -87, 92
917, -39, 85
917, -39, 85
902, 17, 79
895, 85, 102
907, 158, 108
907, 158, 108
930, 207, 142
941, 229, 159
943, 233, 163
950, 213, 142
945, 175, 124
945, 175, 124
943, 146, 102
945, 107, 74
935, 69, 75
935, 69, 75
913, 33, 88
892, 1, 90
866, -22, 89
866, -22, 89
832, -38, 95
811, -44, 122
805, -51, 135
819, -61, 125
819, -61, 125
816, -65, 126
811, -68, 155
808, -53, 154
823, -50, 154
823, -50, 154
872, -53, 176
921, -47, 206
954, -38, 141
943, -54, 159
1042, -34, 203
1042, -34, 203
1094, -47, 210
1079, -49, 136
1015, -28, 152
1017, -96, 189
1345, 35, 527
1852, -1048, 154
262, 375, 28
262, 375, 28
736, 51, 278
1359, -281, 214
731, -53, 246
1103, -145, 189
966, -161, 128
-,-,-
993, -188, 228
1025, -172, 185
1025, -172, 185
1074, -180, 183
1142, -186, 200
1221, -185, 244
1342, -190, 250
1432, -197, 248
1435, -169, 279
1358, -166, 333
1252, -140, 330
1141, -110, 323
1020, -84, 310
918, -73, 297
839, -90, 293
839, -90, 293
762, -73, 281
730, -75, 259
726, -90, 217
713, -90, 205
713, -90, 211
701, -82, 211
720, -94, 198
748, -111, 180
787, -124, 140
828, -143, 104
868, -159, 90
868, -159, 90
903, -190, 82
926, -204, 83
945, -221, 86
958, -236, 101
969, -255, 118
978, -262, 114
978, -262, 114
985, -250, 104
985, -209, 79
1000, -176, 71
991, -135, 84
982, -95, 93
982, -95, 93
968, -50, 93
962, -14, 107
965, 20, 110
961, 47, 127
961, 47, 127
957, 90, 118
963, 121, 119
966, 129, 130
963, 135, 144
963, 135, 144
975, 130, 133
986, 125, 117
974, 116, 110
950, 85, 126
950, 85, 126
925, 48, 127
898, 17, 106
853, 2, 103
853, 2, 103
806, -9, 120
783, -25, 125
783, -38, 109
783, -38, 98
783, -38, 98
782, -40, 95
789, -35, 126
802, -18, 179
843, -1, 180
843, -1, 180
923, -18, 170
1013, -33, 163
1070, -41, 135
1077, -37, 149
1048, 17, 228
1048, 17, 228
1081, 15, 263
1087, -30, 156
-,-,-
973, -174, 261
989, -169, 247
1031, -146, 202
1091, -130, 198
1150, -127, 246
1280, -158, 292
1444, -190, 245
1484, -177, 210
1408, -159, 248
1293, -137, 325
1180, -111, 354
1071, -77, 353
989, -72, 340
989, -72, 340
923, -67, 316
870, -67, 317
829, -66, 278
812, -67, 242
812, -67, 242
793, -63, 213
770, -68, 196
